Etiq-Strain+Automat+CG
AB253420=HEVN2. 4.JPN.Okinawa.hum.CG
AB074918=JKN-Sap. 3a.JPN.Hokkaido.hum(*).CG
AB074920=JMY-Haw. 3a.USA.Hawaii.hum(*).CG
AB082549=HE-JA4. 3a.JPN.Hokkaido.hum(*)
AB082552=HE-JA7. 3a.JPN.Iwate.hum(*)
AB082553=HE-JA8. 3a.JPN.Iwate.hum(*)
AB082560=HE-JA4. 3a.JPN.Hokkaido.hum(*)
AB082563=HE-JA7. 3a.JPN.Iwate.hum(*)
AB082564=HE-JA8. 3a.JPN.Iwate.hum(*)
AB089824=HE-JA10. 3a.JPN.Tokio.hum(*).CG
AB108656=HE-JA16. 3a.JPN.Hokkaido.hum(*)
AB108665=swJL234. 3a.JPN.Hokkaido.pig(*)
AB221523=JHM-Iwa04R. 3a.JPN.Iwate.hum
AB221525=JKY-Iwa02R. 3a.JPN.Iwate.hum
AB221526=JNK-Iwa01R. 3a.JPN.Iwate.hum
AB360348=HE-JA10. 3a.JPN.hum
AB385846=HEV/HU/NL/2005-6992. 3a.NLD.hum
AB481228=swJB-M8. 3a.JPN.pig.CG
AB591734=JMNG36-Oki08. 3a.JPN.mongoose .CG
AB605196=wbJNR_10. 3a.JPN.wb
AB605226=wbJNR_10. 3a.JPN.wb
AB630970=HRC-HE104. 3a.JPN.Hokkaido.hum(**).CG
AF060668=HEV-US1. 3a.USA.hum(*).CG
AF060669=HEV-US2. 3a.USA.hum(*).CG
AF082843=Meng. 3a.USA.pig(*).CG
AF336002=NLSW22. 3a.NLD.pig(*)
AF336014=NLSW122. 3a.NLD.pig(*)
AF490996=BCN15. 3a.ESP.sewage(*)
AF490998=W1. 3a.USA.sewage(*)
AY575857=pSHEV. 3a.USA.clon.CG
AY575859=pSHEV. 3a.USA.clon.CG
AY753647=Ger-JS. 3a.DEU.hum.UReg
AY753648=Ger-JS. 3a.DEU.hum.UReg
DQ079625=G3-Chi. 3a.JPN.hum
DQ079627=G3-pig-2712. 3a.JPN.pig
EF372539=HEV/SW/NL/2005-1009. 3a.NLD.pig
EF372546=HEV/SW/NL/2005-1027. 3a.NLD.pig
EF372547=HEV/SW/NL/2005-1028. 3a.NLD.pig
EF372548=HEV/SW/NL/2005-1033. 3a.NLD.pig
EF372552=HEV/SW/NL/2005-1043. 3a.NLD.pig
EF372554=HEV/SW/NL/2005-1048. 3a.NLD.pig
EF530671=HUN-034. 3a.HUN.pig
EF530672=HUN-038. 3a.HUN.pig
EF530673=HUN-052. 3a.HUN.pig
EF530675=HUN-006. 3a.HUN.wb
EF530676=HUN-007. 3a.HUN.wb
EU526627=HEV/SW/NL/2005-1043. 3a.NLD.pig
EU526628=HEV/SW/NL/2005-1033. 3a.NLD.pig
EU526629=HEV/SW/NL/2005-1028. 3a.NLD.pig
EU526630=HEV/SW/NL/2006-672740. 3a.NLD.pig
EU526631=HEV/SW/NL/2005-1048. 3a.NLD.pig
EU526632=HEV/SW/NL/2005-1027. 3a.NLD.pig
EU718629=HUN-052. 3a.HUN.pig
EU718633=HUN-036. 3a.HUN.pig
EU718635=HUN-264. 3a.HUN.pig
EU718640=HUN-039. 3a.HUN.pig
EU718641=HUN-143. 3a.HUN.pig
EU718644=HUN-070. 3a.HUN.pig
EU718646=HUN-006. 3a.HUN.wb
EU718647=HUN-007. 3a.HUN.wb
EU718648=HUN-034. 3a.HUN.pig
EU718649=HUN-039. 3a.HUN.pig
EU879099=V0609076. 3a.DEU.BB.hum.UReg
EU879103=V0609890. 3a.DEU.hum.UReg
EU879110=V0705397. 3a.DEU.hum.UReg
EU879113=V0707613. 3a.USA.hum.UReg
FJ426403=swKOR-1. 3a.KOR.pig.CG
FJ426404=swKOR-2. 3a.KOR.pig.CG
FJ748527=wbGER140. 3a.DEU.BB,Potsdam.wb.FIRA
FJ748528=wbGER155. 3a.DEU.BB,Potsdam.wb.FIRA
FJ748529=wbGER155. 3a.DEU.BB,Potsdam.wb.FIRA
FR846453=swR437. 3a.DEU.BY,Reg.pig.UReg
FR846454=swR437. 3a.DEU.BY,Reg.pig.UReg
GQ468296=HUN-138. 3a.HUN.deer
GU479457=V0926307 . 3a.DEU.BY.hum.UReg
GU479458=V0926307 . 3a.DEU.BY.hum.UReg
HE797853=4701. 3a.DEU.MV.wb.FLI
HE797854=8603. 3a.DEU.MV.wb.FLI
HM483380=005-10. 3a.SRB.pig
HM483381=006-10. 3a.SRB.pig
HM483382=007-10. 3a.SRB.pig
HM483383=008-10. 3a.SRB.pig
HM623773=sw1aAT. 3a.AUT.pig
HM623774=sw7_1AT. 3a.AUT.pig
HM623775=sw7aAT. 3a.AUT.pig
HM623776=sw10_04AT. 3a.AUT.pig
HQ389543=Kernow-C1. 3a.UK.hum.CG
HQ446873=CUB24-2008. 3a.CUB.hum
HQ446874=CUB96-2008. 3a.CUB.hum
HQ446875=CUB90-2008. 3a.CUB.hum
HQ446876=CUB67-2008. 3a.CUB.hum
HQ446877=CUB54-2008. 3a.CUB.hum
HQ446878=CUB23-2008. 3a.CUB.hum
HQ446879=CUB90D-2008. 3a.CUB.hum
HQ693753=PT4-1. 3a.CAN.hum
HQ693754=PT4-2. 3a.CAN.hum
HQ842719=NLSW747HEV2008. 3a.NLD.pig
JF937673=swCUB7-2008. 3a.CUB.pig
JF937674=swCUB30-2008. 3a.CUB.pig
JF937675=swCUB87-2008. 3a.CUB.pig
JF937676=swCUB92-2008. 3a.CUB.pig
JF937677=swCUB138-2008. 3a.CUB.pig
JF937678=swCUB137-2008. 3a.CUB.pig
JN564006=LBPR-000379. 3a.USA.hum.CG
JN701453=USfsw-1. 3a.USA.pig
JN701454=USfsw-2. 3a.USA.pig
JN701455=USfsw-1. 3a.USA.pig
JN701456=USfsw-2. 3a.USA.pig
JN701457=USsw-21. 3a.USA.pig
JN837481=US-C031008. 3a.USA.hum.CG
JQ034521=HSD43. 3a.DEU.hum.UBMC
JQ807472=4701. 3a.DEU.MV.wb.FLI
JQ807473=4973. 3a.DEU.MV.wb.FLI
JQ807476=8603. 3a.DEU.MV.wb.FLI
JQ863412=5288_8. 3a.DEU.NRW.hum.UBMC
JX110666=21106. 3a.DEU.hum.UBMC
JX110667=21387. 3a.DEU.hum.UBMC
KF303484=wb117. 3a.DEU.wb.JLUG
KF303496=wb121. 3a.DEU.wb.JLUG
KF303497=WB120. 3a.DEU.wb.JLUG
KF303498=WB124. 3a.DEU.wb.JLUG
KF303499=WB122. 3a.DEU.wb.JLUG
KF303500=WB69. 3a.DEU.wb.JLUG
KF303502=GiSw. 3a.DEU.pig.JLUG.CG
KF513765=GiSw. 3a.GBR.hum
KF513852=HEV_EW256. 3a.GBR.hum
KF513895=HEV_EW334. 3a.GBR.hum
KF513941=HEV_EW373. 3a.GBR.hum
KF514097=HEV_EW414. 3a.GBR.hum
KJ507955=swSTHY12-VAS19/2003/CA. 3a.CAN.pig.CG
AB073912=swJ570. 3b.JPN.Tochigi .pig(*).CG
AB082550=HE-JA5. 3b.JPN.Iwate.hum(*)
AB082551=HE-JA6. 3b.JPN.Iwate.hum(*)
AB082554=HE-JA9. 3b.JPN.Fukushima.hum(*)
AB082556=HE-JA11. 3b.JPN.Yamanashi.hum
AB082561=HE-JA5. 3b.JPN.Iwate.hum(*)
AB082562=HE-JA6. 3b.JPN.Iwate.hum(*)
AB082565=HE-JA9. 3b.JPN.Fukushima.hum(*)
AB082567=HE-JA11. 3b.JPN.Yamanashi.hum
AB091394=JJT-Kan. 3b.JPN.Kanagawa.hum(*).CG
AB108661=swJL82. 3b.JPN.Hokkaido.pig(*)
AB108662=swJL97. 3b.JPN.Hokkaido.pig(*)
AB189070=JBOAR1-Hyo04. 3b.JPN.Hyogo.wb(*).CG
AB189072=JMO-Hyo03L. 3b.JPN.Hyogo.hum(*).CG
AB189073=JSO-Hyo03L. 3b.JPN.Hyogo.hum(*).CG
AB189074=JTH-Hyo03L. 3b.JPN.Hyogo.hum.CG
AB189075=JYO-Hyo03L. 3b.JPN.Hyogo.hum.CG
AB221497=JBOAR278-Hyo04R+. 3b.JPN.Hyogo.wb
AB221498=JBOAR280-Hyo04R+. 3b.JPN.Hyogo.wb
AB221499=JBOAR316-Hyo04R+. 3b.JPN.Hyogo.wb
AB221500=JBOAR318-Hyo04R+. 3b.JPN.Hyogo.wb
AB221501=JBOAR323-Hyo04R+. 3b.JPN.Hyogo.wb
AB221502=JBOAR326-Hyo04R+. 3b.JPN.Hyogo.wb
AB221518=JSWINE150-Aom04. 3b.JPN.Aomori.pig
AB221519=JSWINE203-Aom04. 3b.JPN.Aomori.pig
AB221520=JSWINE150-Aom04R. 3b.JPN.Aomori.pig
AB221521=JSWINE203-Aom04R. 3b.JPN.Aomori.pig
AB221527=JYI-Iwa04R. 3b.JPN.Iwate.hum
AB222182=wbJSG1. 3b.JPN.Saga.wb.CG
AB222183=wbJTS1. 3b.JPN.Tokushima.wb.CG
AB222184=wbJYG1. 3b.JPN.Yamaguchi.wb.CG
AB236320=JMNG-Oki02C. 3b.JPN.Okinawa.mong.CG
AB246676=HEVN1. 3b.JPN.?hum.CG
AB291951=JIO-Sai97L. 3b.JPN.Saitama.hum.CG
AB291952=JIY-Tot05L. 3b.JPN.Tottori.hum.CG
AB291953=JSO-Oki05L. 3b.JPN.Okinawa.hum.CG
AB291954=JSS-Oka04L. 3b.JPN.Okayama.hum.CG
AB291955=JSW-Kyo-FH06L. 3b.JPN.Kyoto.hum.CG
AB291956=JYM-Tot04L. 3b.JPN.Tottori.hum.CG
AB291957=JYU-Oki04L. 3b.JPN.Okayama.hum.CG
AB291960=JTK-Kag06C. 3b.JPN.Kagawa.hum.CG
AB291962=JHK-Toy04C. 3b.JPN.Toyama.hum.CG
AB291963=JRM-Toy05C. 3b.JPN.Toyama.hum.CG
AB301710=JE03-1760F. 3b.JPN.hum.CG
AB362839=JE03-1760F. 3b.JPN.cells.CG
AB362842=JE03-1760F. 3b.JPN.cells.CG
AB369691=E097-OSA05C. 3b.JPN.Osaka.hum.CG
AB425830=JE03-1760F. 3b.JPN.cells.CG
AB425831=JE03-1760F. 3b.JPN.cells.CG
AB437316=JE03-1760F. 3b.JPN.hum.CG
AB437319=JE03-1760F. 3b.JPN.hum.CG
AB443623=JIO-swJ19. 3b.JPN.Miyazaki.pig.CG
AB443624=JIO-swJ19-2. 3b.JPN.Miyazaki.pig.CG
AB443625=JIO-swJ19-5. 3b.JPN.Miyazaki.pig.CG
AB443626=JIO-swJ19. 3b.JPN.Miyazaki.pig.CG
AB443627=JIO-swJ19. 3b.JPN.Miyazaki.pig.CG
AB481229=swJR-P5. 3b.JPN.pig.CG
AB591733=JMNG26-Oki08. 3b.JPN.mongoose .CG
AB605180=wbJSG_03. 3b.JPN.wb
AB605181=wbJTS_04. 3b.JPN.wb
AB605182=wbJYG_05. 3b.JPN.wb
AB605184=wbJSO_05-1. 3b.JPN.wb
AB605186=wbJSH_05. 3b.JPN.wb
AB605187=wbJFI_06. 3b.JPN.wb
AB605188=wbJYN_06-1. 3b.JPN.wb
AB605190=wbJOY_07-1. 3b.JPN.wb
AB605197=wbJNN_09. 3b.JPN.wb
AB605198=wbJFI_09. 3b.JPN.wb
AB605210=wbJSG_03. 3b.JPN.wb
AB605211=wbJTS_04. 3b.JPN.wb
AB605212=wbJYG_05. 3b.JPN.wb
AB605214=wbJSO_05-1. 3b.JPN.wb
AB605216=wbJSH_05. 3b.JPN.wb
AB605217=wbJFI_06. 3b.JPN.wb
AB605218=wbJYN_06-1. 3b.JPN.wb
AB605220=wbJOY_07-1. 3b.JPN.wb
AB605227=wbJNN_09. 3b.JPN.wb
AB605228=wbJFI_09. 3b.JPN.wb
AB627907=JSS-Tok09. 3b.JPN.Tokio.hum
AB627910=JTS-Tok10. 3b.JPN.Tokio.hum
AB627911=JSY-Tok09. 3b.JPN.Tokio.hum
AB630971=JRC-HE3. 3b.JPN.Fukuoka.hum.CG
AB698071=Type III Highland/2000. 3b.JPN.Tsukuba.pig.CG
AP003430=JRA1. 3b.JPN.hum(*).CG
DQ079626=HTN-0618. 3b.JPN.hum
DQ079629=FF031605. 3b.JPN.hum
DQ079630=WB011905. 3b.JPN.wb
EU495109=TLS39. 3b.FRA.hum
EU495190=TLS39. 3b.FRA.hum
EU495230=TLS39. 3b.FRA.hum
FJ527832=SAAS-JDY5. 3b.CHN.Shang.pig.CG
HE797855=Bugewitz. 3b.DEU.MV,Ovp.wb.FLI
HM439285=EChN22. 3b.CHN.hum
HQ415969=CC2009-1047. 3b.CAN.strawberry
JQ807477=Bugewitz. 3b.DEU.MV,Ovp.wb.FLI
JQ807478=Bugewitz. 3b.DEU.MV,Ovp.wb.FLI
JQ807479=Bugewitz. 3b.DEU.MV,Ovp.wb.FLI
JQ807480=Bugewitz. 3b.DEU.MV,Ovp.wb.FLI
JQ807487=WS28-10. 3b.DEU.MV,Ddh.wb.FLI
KJ507956=swSTHY42-VAS49/2003/CA. 3b.CAN.pig.CG
KF513701=Bugewitz. 3c.GBR.hum
KF513707=HEV_EW199. 3c.GBR.hum
KF513755=HEV_EW203. 3c.GBR.hum
KF513756=HEV_EW247. 3c.GBR.hum
KF513757=HEV_EW248. 3c.GBR.hum
KF513774=HEV_EW249. 3c.GBR.hum
KF513992=HEV_EW264. 3c.GBR.hum
KF513998=HEV_EW460. 3c.GBR.hum
KF514004=HEV_EW466. 3c.GBR.hum
KF514014=HEV_EW471. 3c.GBR.hum
AB385842=HEV/HU/NL/2002-2520. 3c.NLD.hum
AB385843=HEV/HU/NL/2004-0247. 3c.NLD.hum
AB385844=HEV/HU/NL/2005-5810. 3c.NLD.hum
AB385847=HEV/HU/NL/2006-0053. 3c.NLD.hum
AB385848=HEV/HU/NL/2006-0083. 3c.NLD.hum
AB385851=HEV/HU/NL/2006-0890. 3c.NLD.hum
AB385852=HEV/HU/NL/2006-1917. 3c.NLD.hum
AF336001=NLSW20. 3c.NLD.pig(*)
AF336004=NLSW36. 3c.NLD.pig(*)
AF336007=NLSW68. 3c.NLD.pig(*)
AF336012=NLSW99. 3c.NLD.pig(*)
AF336013=NLSW105. 3c.NLD.pig(*)
AF336290=NLSW20. 3c.NLD.pig(*)
AF336293=NLSW36. 3c.NLD.pig(*)
AF336297=NLSW99. 3c.NLD.pig(*)
AF336298=NLSW105. 3c.NLD.pig(*)
AY032756=NLSW68. 3c.NLD.pig(*)
DQ200275=HEV/HU/NL/2002-0576. 3c.NLD.hum
DQ200279=HEV/HU/NL/2004-0179. 3c.NLD.hum
DQ200280=HEV/HU/NL/2004-0684. 3c.NLD.hum
DQ200282=HEV/HU/NL/2004-1232. 3c.NLD.hum
DQ200283=HEV/HU/NL/2005-0182. 3c.NLD.hum
DQ200284=HEV/HU/NL/2005-0397. 3c.NLD.hum
DQ200287=HEV/HU/NL/2005-0560. 3c.NLD.hum
DQ200289=HEV/HU/NL/2005-0756. 3c.NLD.hum
DQ200293=HEV/HU/NL/2005-1169. 3c.NLD.hum
DQ916142=NLSWLiver21. 3c.NLD.pig
EF372525=HEV/SW/NL/2005-977. 3c.NLD.pig
EF372526=HEV/SW/NL/2005-978. 3c.NLD.pig
EF372529=HEV/SW/NL/2005-985. 3c.NLD.pig
EF372531=HEV/SW/NL/2005-988. 3c.NLD.pig
EF372532=HEV/SW/NL/2005-990. 3c.NLD.pig
EF372533=HEV/SW/NL/2005-994. 3c.NLD.pig
EF372534=HEV/SW/NL/2005-995. 3c.NLD.pig
EF372536=HEV/SW/NL/2005-999. 3c.NLD.pig
EF372537=HEV/SW/NL/2005-1001. 3c.NLD.pig
EF372538=HEV/SW/NL/2005-1006. 3c.NLD.pig
EF372542=HEV/SW/NL/2005-1018. 3c.NLD.pig
EF372543=HEV/SW/NL/2005-1019. 3c.NLD.pig
EF372545=HEV/SW/NL/2005-1026. 3c.NLD.pig
EF372550=HEV/SW/NL/2005-1036. 3c.NLD.pig
EF372553=HEV/SW/NL/2005-1044. 3c.NLD.pig
EF372556=HEV/SW/NL/2005-1055. 3c.NLD.pig
EF372558=HEV/SW/NL/2005-1063. 3c.NLD.pig
EF372561=HEV/SW/NL/2005-1068. 3c.NLD.pig
EU035812=118E. 3c.DEU.wb.FIRA
EU035813=119E. 3c.DEU.wb.FIRA
EU495145=TLS41. 3c.FRA.hum
EU495189=TLS41. 3c.FRA.hum
EU495231=TLS41. 3c.FRA.hum
EU526633=HEV/SW/NL/2005-990. 3c.NLD.pig
EU526634=HEV/SW/NL/2005-977. 3c.NLD.pig
EU526635=HEV/SW/NL/2006-659603. 3c.NLD.pig
EU526636=HEV/SW/NL/2005-1036. 3c.NLD.pig
EU526637=HEV/SW/NL/2005-1019. 3c.NLD.pig
EU526638=HEV/SW/NL/2005-1042. 3c.NLD.pig
EU526639=HEV/SW/NL/2005-1068. 3c.NLD.pig
EU526640=HEV/SW/NL/2005-1018. 3c.NLD.pig
EU526641=HEV/SW/NL/2005-999. 3c.NLD.pig
EU526642=HEV/WB/NL/2005-21. 3c.NLD.wb
EU526643=HEV/SW/NL/2005-994. 3c.NLD.pig
EU526644=HEV/SW/NL/2005-1026. 3c.NLD.pig
EU526645=HEV/SW/NL/2005-985. 3c.NLD.pig
EU526646=HEV/SW/NL/2005-1001. 3c.NLD.pig
EU526647=HEV/SW/NL/2005-1055. 3c.NLD.pig
EU879109=V0703163. 3c.DEU.hum.UReg
EU879111=V0706586. 3c.DEU.Berlin.hum.UReg
FJ705359=wbGER27. 3c.DEU.BB.wb.FIRA.CG
FJ748517=wbGER25. 3c.DEU.BB.wb.FIRA
FJ748518=wbGER27. 3c.DEU.BB.wb.FIRA
FJ748519=wbGER28. 3c.DEU.BB.wb.FIRA
FJ748520=wbGER29. 3c.DEU.BB.wb.FIRA
FJ748521=wbGER31. 3c.DEU.BB.wb.FIRA
FJ748522=wbGER32. 3c.DEU.BB.wb.FIRA
FJ748523=wbGER36. 3c.DEU.BB.wb.FIRA
FJ748524=wbGER37. 3c.DEU.BB.wb.FIRA
FJ748525=wbGER38. 3c.DEU.BB.wb.FIRA
FJ748531=wbGER27. 3c.DEU.BB.wb.FIRA
FN985025=V1011293. 3c.DEU.BB.hum.UReg
FN994997=V1006699. 3c.DEU.NI.hum.UReg
FN995000=V1007999. 3c.DEU.BY,Reg.hum.UReg
FN995001=V1007999. 3c.DEU.BY,Reg.hum.UReg
FR728247=V1014546. 3c.DEU.Hamburg.hum.UReg
FR728248=V1015214. 3c.DEU.NW.hum.UReg
FR728249=V1015214. 3c.DEU.NW.hum.UReg
FR728253=V1020087. 3c.DEU.BY,Munich.hum.UReg
FR728254=V1020087. 3c.DEU.BY,Munich.hum.UReg
FR728255=V1023239. 3c.DEU.BW,Ulm.hum.UReg
FR728256=V1023239. 3c.DEU.BW,Ulm.hum.UReg
FR846450=V1024549. 3c.DEU.BW,LB.hum.UReg
FR846451=V1025911. 3c.DEU.RP,Mainz.hum.UReg
FR846452=V1025911. 3c.DEU.RP,Mainz.hum.UReg
FR846455=swR269. 3c.DEU.BY,Reg.pig.UReg
GU556929=SwBO85. 3c.ITA.pig
HE605114=V1109172. 3c.DEU.hum.Ureg
HE605115=V1117691. 3c.DEU.hum.Ureg
HE605116=V1109172. 3c.DEU.hum.Ureg
HE605117=V1117691. 3c.DEU.hum.Ureg
HF912156=V1114818. 3c.DEU.Lower Saxony.hum.Ureg
HF912157=V1114818. 3c.DEU.Lower Saxony.hum.Ureg
HM054531=TR39. 3c.FRA.hum
HM641302=640-09. 3c.SWE.wb
HQ842716=NLSW664HEV2008. 3c.NLD.pig
HQ842717=NLSW708HEV2008. 3c.NLD.pig
HQ842731=NLSW927HEV2008. 3c.NLD.pig
JF309071=Hamburg-BNI. 3c.DEU.BB.hum.BNI
JF730329=Fr-08H82. 3c.FRA.pig
JN415697=swine/Ger/10. 3c.DEU.pig.TiHo
JN415698=swine/Ger/12. 3c.DEU.pig.TiHo
JN415701=swine/Ger/16. 3c.DEU.pig.TiHo
JN415702=swine/Ger/17. 3c.DEU.pig.TiHo
JN986840=HAMBURG-HB. 3c.DEU.hum.BNI
JN995563=Oct2. 3c.DEU.hum.PEI
JN995567=Oct6. 3c.DEU.hum.PEI
JN995569=Oct8. 3c.DEU.hum.PEI
JQ034512=HSD40. 3c.DEU.hum.UBMC
JQ034513=HSD23. 3c.DEU.hum.UBMC
JQ034514=HSD32. 3c.DEU.hum.UBMC
JQ034515=HSD11. 3c.DEU.hum.UBMC
JQ034516=HSD14. 3c.DEU.hum.UBMC
JQ034519=HSD21. 3c.DEU.hum.UBMC
JQ034522=HSD30. 3c.DEU.hum.UBMC
JQ863406=8271_10. 3c.DEU.HE.hum.HDZNRW
JQ863407=0123_9. 3c.DEU.HE.hum.UBMC
JQ863408=3039_2. 3c.DEU.HE.hum.UBMC
JQ863410=5977_6. 3c.DEU.NRW.hum.UBMC
JQ863411=6025_7. 3c.DEU.HE.hum.UBMC
JQ863413=4163_5. 3c.DEU.HE.hum.UBMC
JQ863414=6207_11. 3c.DEU.NRW.hum.UBMC
JQ863415=4046_3. 3c.DEU.NRW.hum.UBMC
JQ863416=3306_4. 3c.DEU.NRW.hum.UBMC
JQ863417=4423_12. 3c.DEU.LS.hum.UBMC
JQ863418=9467_13. 3c.DEU.HE.hum.UBMC
JX110665=20617. 3c.DEU.hum.UBMC
KC618402=47832. 3c.DEU.hum.FIRA.CG
KF211430=3100-7. 3c.DEU.pig.FIRA
KF303485=wb24. 3c.DEU.wb.JLUG
KF303487=wb34. 3c.DEU.wb.JLUG
KF303501=WB1. 3c.DEU.wb.JLUG
KF513637=HEV_EW139. 3c.GBR.hum
KF513663=HEV_EW163. 3c.GBR.hum
KF513689=HEV_EW163. 3c.GBR.hum
KF513690=HEV_EW187. 3c.GBR.hum
KF513691=HEV_EW188. 3c.GBR.hum
KF513697=HEV_EW189. 3c.GBR.hum
KF513704=HEV_EW195. 3c.GBR.hum
KF513711=HEV_EW200. 3c.GBR.hum
KF513720=HEV_EW207. 3c.GBR.hum
KF513729=HEV_EW215. 3c.GBR.hum
KF513731=HEV_EW223. 3c.GBR.hum
KF513734=HEV_EW225. 3c.GBR.hum
KF513746=HEV_EW228. 3c.GBR.hum
KF513762=HEV_EW239. 3c.GBR.hum
KF513763=HEV_EW253. 3c.GBR.hum
KF513773=HEV_EW254. 3c.GBR.hum
KF513775=HEV_EW263. 3c.GBR.hum
KF513776=HEV_EW265. 3c.GBR.hum
KF513777=HEV_EW266. 3c.GBR.hum
KF513782=HEV_EW267. 3c.GBR.hum
KF513783=HEV_EW271. 3c.GBR.hum
KF513787=HEV_EW272. 3c.GBR.hum
KF513792=HEV_EW276. 3c.GBR.hum
KF513796=HEV_EW280. 3c.GBR.hum
KF513797=HEV_EW284. 3c.GBR.hum
KF513798=HEV_EW285. 3c.GBR.hum
KF513799=HEV_EW286. 3c.GBR.hum
KF513800=HEV_EW287. 3c.GBR.hum
KF513801=HEV_EW288. 3c.GBR.hum
KF513803=HEV_EW289. 3c.GBR.hum
KF513805=HEV_EW290. 3c.GBR.hum
KF513807=HEV_EW292. 3c.GBR.hum
KF513811=HEV_EW294. 3c.GBR.hum
KF513812=HEV_EW298. 3c.GBR.hum
KF513818=HEV_EW299. 3c.GBR.hum
KF513819=HEV_EW303. 3c.GBR.hum
KF513820=HEV_EW304. 3c.GBR.hum
KF513821=HEV_EW305. 3c.GBR.hum
KF513822=HEV_EW306. 3c.GBR.hum
KF513823=HEV_EW307. 3c.GBR.hum
KF513826=HEV_EW308. 3c.GBR.hum
KF513827=HEV_EW310. 3c.GBR.hum
KF513828=HEV_EW311. 3c.GBR.hum
